組付番号,存在フラグ,部品1,部品2,組立部品,部品1の構成部品,,,,,,,,,,,,,,部品2の構成部品,,,,,,,,,,,,,,組立部品の構成部品,,,,,,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
89,1,4,117,72,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,3,0,5,0,7,8,0,0,11,0,13,14,0,2,3,4,5,0,7,8,0,0,11,0,13,14,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
90,1,4,148,126,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,7,8,9,0,0,12,0,14,0,0,3,4,0,6,7,8,9,0,0,12,0,14,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
91,1,4,214,198,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,8,0,0,0,0,0,14,0,0,3,4,0,0,7,8,0,0,0,0,0,14,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
92,1,4,128,98,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,3,0,5,6,7,8,0,0,11,0,0,14,0,2,3,4,5,6,7,8,0,0,11,0,0,14,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
93,1,4,115,99,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,3,0,5,0,7,8,9,0,11,0,0,14,0,2,3,4,5,0,7,8,9,0,11,0,0,14,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
94,1,4,31,25,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,2,3,0,5,0,7,8,9,0,11,12,13,14,1,2,3,4,5,0,7,8,9,0,11,12,13,14,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
95,1,4,29,21,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,3,0,5,6,7,8,9,0,11,12,13,14,0,2,3,4,5,6,7,8,9,0,11,12,13,14,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
96,1,4,47,30,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,3,0,5,0,7,8,9,0,11,12,13,14,0,2,3,4,5,0,7,8,9,0,11,12,13,14,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
97,1,4,158,131,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,3,0,5,0,7,8,0,0,11,0,0,14,0,2,3,4,5,0,7,8,0,0,11,0,0,14,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
98,1,4,38,28,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,2,3,0,5,6,7,8,9,0,11,0,13,14,1,2,3,4,5,6,7,8,9,0,11,0,13,14,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
99,1,4,37,23,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,2,3,0,5,6,7,8,0,0,11,12,13,14,1,2,3,4,5,6,7,8,0,0,11,12,13,14,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
100,1,4,97,68,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,3,0,5,6,7,8,0,0,11,12,0,14,0,2,3,4,5,6,7,8,0,0,11,12,0,14,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
101,1,4,197,181,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,8,9,0,0,0,0,14,0,0,3,4,0,0,7,8,9,0,0,0,0,14,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
